unique_id,metric,Naive,weekly_seasonality,monthly_seasonality,AutoETS,AutoARIMA,LGBMRegressor,AutoNBEATS-median,AutoNHITS-median,TimeGPT,best_model
hotel_14,bias,-0.1483322102425876,-0.003004267744833783,-0.007973944294699012,-0.008389394477671045,-0.01726756557643921,-0.053724276769269684,-0.03228669826473509,-0.07106648358915534,-0.025713012103548972,Naive
hotel_14,mae,0.17483715184186885,0.12092879604672059,0.13572551662174306,0.10897712751909401,0.1253783186125978,0.10801523195411374,0.13388860970735553,0.16904256105764376,0.12391382314914647,LGBMRegressor
hotel_14,rmse,0.19643053602571828,0.1479182176555938,0.16539426479737138,0.1306562135042973,0.1484849988728409,0.12920259189597494,0.16616745150268375,0.2170767166766621,0.14716887481955634,LGBMRegressor
hotel_21,bias,0.016823743386243414,-0.0015845458553791804,0.007302689594356264,0.02763591409464804,0.014813055892552482,-0.041208136267763505,-0.046327031133745714,-0.07360077361581187,0.022343153026895945,AutoNHITS-median
hotel_21,mae,0.056919642857142856,0.06174217372134039,0.062417328042328045,0.056728884446365674,0.05359287712956873,0.11260950597351081,0.14241885718096187,0.1679310279863852,0.04775833212301587,TimeGPT
hotel_21,rmse,0.07445576965194652,0.07874458255471942,0.08632342628634744,0.07601880881212013,0.07002326903083962,0.13801971542412741,0.18098989088792924,0.2120148110546159,0.06439413819876669,TimeGPT
hotel_28,rmse,0.15037920580408598,0.1321393655805266,0.1818859443908796,0.12603439980564213,0.14230627042816732,0.18101929456196522,0.3103257194165598,0.35029531452380447,0.16324157135415385,AutoETS
hotel_28,bias,-0.057911706349206345,0.03335813492063492,0.0671875,0.02639942345980675,-0.01603059518701481,0.0471567046727989,0.15855911352846305,0.20463770906083353,0.04324287640174604,Naive
hotel_28,mae,0.1230406746031746,0.10205853174603174,0.14848710317460317,0.10265641424943091,0.11699560217061565,0.15458351379715876,0.21344174236167288,0.2342014499484018,0.13610622860420635,weekly_seasonality
hotel_35,mae,0.07495698474702381,0.0792817615327381,0.1232270740327381,0.0723456497769967,0.08510500721509151,0.12036619003547798,0.12102845045072692,0.10785555560141802,0.0760771555952381,AutoETS
hotel_35,rmse,0.09537895654027,0.10262589073187743,0.1450046010947591,0.09418656176190317,0.10204903771813893,0.1422279982115685,0.1540289890128069,0.13311280758269106,0.0931055814407639,TimeGPT
hotel_35,bias,-0.015340169270833334,-0.011224655877976192,-0.023373558407738096,-0.01379770605834981,-0.010932155281232791,-0.009073119639626056,-0.014255988012467111,-0.015221712977758475,0.005337183511904763,monthly_seasonality
hotel_42,bias,-0.2166594370541739,0.007747734721418942,-0.006145170618854831,-0.02882055998789408,-0.03141218586831775,-0.008195409987407924,0.029761019658928602,-0.059456984814689494,-0.03177171205345093,Naive
hotel_42,mae,0.28601551956815113,0.22506988625409677,0.23373337189126664,0.19488963760322195,0.20274328394746513,0.19601839178680594,0.27530170346681887,0.2880114843888976,0.20976227305571624,AutoETS
hotel_42,rmse,0.33002507734817915,0.2842149539517163,0.2941203906111326,0.23337624388068287,0.24205960903952783,0.23248524000414958,0.35043813762492915,0.35252679483707067,0.24790277732086574,LGBMRegressor
hotel_49,bias,-0.06473539197338322,-0.017012372634643377,0.00133863589103764,-0.006740969524834568,-0.017041894049884723,-0.05143011651188567,-0.0762443666393431,-0.14591161921824877,-0.010419490788755452,AutoNHITS-median
hotel_49,mae,0.10705188188812641,0.09259981285090456,0.09330162195882719,0.07543665750024563,0.08708216034012929,0.11785350332420048,0.12481652198362855,0.184696880297611,0.07805004879951652,AutoETS
hotel_49,rmse,0.12326616024110194,0.11751703705528053,0.12239656562566388,0.09161493729263619,0.10308851541000619,0.13478503080171642,0.15022401773319558,0.24377883244818632,0.09506984705763312,AutoETS
hotel_56,bias,-0.09709821428571429,0.013318452380952382,-0.0019841269841269836,-0.004307708420611751,-0.003309178339499771,-0.05744212128107704,-0.06978609373881703,-0.1596778241474004,-0.018509619107142855,AutoNHITS-median
hotel_56,mae,0.13152281746031746,0.08668154761904762,0.10322420634920636,0.08872869730253923,0.0894924162896595,0.13309002995184874,0.1216062839896906,0.23260231186591443,0.09492828253968255,weekly_seasonality
hotel_56,rmse,0.15414651457733927,0.12563685220423293,0.15064603464998425,0.10855654674337105,0.11261793323607995,0.15824669905704977,0.15041053867443163,0.37975666764364957,0.11856849225832715,AutoETS
hotel_63,rmse,0.27160706582788097,0.1845693344756505,0.21710175108066265,0.19502311104106018,0.1924948710448721,0.1789742394717059,0.25230550609393915,0.42841323569154943,0.19262182974474604,LGBMRegressor
hotel_63,bias,-0.1449867724867725,-0.017579365079365077,-0.01802910052910053,-0.035398771897170986,-0.04450687811235626,-0.007591252679004401,0.04945083026493353,-0.013333187463974192,-0.027866765125661375,Naive
hotel_63,mae,0.23670634920634923,0.14562169312169312,0.17371693121693121,0.16286181793681273,0.163866003546997,0.146606562951357,0.20376093753628316,0.31414008385723546,0.1577880508068783,weekly_seasonality
hotel_7,rmse,0.14510982247561158,0.14330223992312316,0.16801524884858812,0.13353198143684158,0.1447391840355575,0.12906971159890687,0.33719102781465354,0.11488532668944754,0.139939257402512,AutoNHITS-median
hotel_7,bias,-0.029175391655033356,0.010959554831704669,-0.007450170621994722,-0.007518651544008413,-0.02487740008469415,-0.06679880745698583,-0.12578529852501816,-0.00769917708082691,-0.0066034676782805906,AutoNBEATS-median
hotel_7,mae,0.12471401427020319,0.12488851403753683,0.14817453854505971,0.11674071857859748,0.12547726184475969,0.1106378366882901,0.20147941242548104,0.0929917007859791,0.12154847552379015,AutoNHITS-median
hotel_70,bias,-0.09553832497911445,0.0009529030910609814,0.0027673350041771063,-0.028563192487704277,0.011222786783911093,0.0430371503741366,0.055969176074037126,-0.05588638630315176,-0.01282104492220134,Naive
hotel_70,mae,0.165687656641604,0.140703320802005,0.18629908103592316,0.14661137970731966,0.17322600671756716,0.1604053266188536,0.20063364992903215,0.19914276344248824,0.15498165459012112,weekly_seasonality
hotel_70,rmse,0.20371584293092304,0.1724524102587148,0.23292802342915334,0.17729976719140017,0.20814481945729543,0.19118983507372622,0.24911860179561363,0.24182718540283568,0.1816068558201025,weekly_seasonality
hotel_84,bias,-0.11538144669632559,-0.014335145823035097,-0.01717745921898171,0.010502787644847996,0.03710198188513427,0.009459158360476179,0.07577798314423871,0.05088191664143771,-0.026588334103023564,Naive
hotel_84,mae,0.19370983687592683,0.1354012193112539,0.1547413082880211,0.15281880315608212,0.14834302259599114,0.12204983877836156,0.2129995679166085,0.1884588583699854,0.1601309843293788,LGBMRegressor
hotel_84,rmse,0.23064867857358406,0.18024894551281825,0.20032763679846502,0.1878798680191138,0.18302345307120696,0.15527868095001543,0.2803755608259949,0.2517458085093995,0.20033775690088565,LGBMRegressor
hotel_91,mae,0.18833600856072766,0.17395666131621187,0.2051565008025682,0.16748161991668,0.17454107594674406,0.1909559812512814,0.3019046125437221,0.3043327871829654,0.17281102536516854,AutoETS
hotel_91,bias,-0.09363295880149813,0.02701979668271803,-0.004915730337078658,0.034110614104097006,-0.003218229866452236,0.02019833388569917,-0.033507604610898425,-0.11104444606621326,0.008704983771401834,AutoNHITS-median
hotel_91,rmse,0.2245356636880045,0.21269176344401028,0.25049595988564166,0.20093302410029637,0.20853847872408524,0.2250073481010513,0.3933670674841327,0.399947636415426,0.2059006405474517,AutoETS
hotel_98,mae,0.12670410906298002,0.12588805683563747,0.13738479262672812,0.11158060835653,0.11966949646995166,0.12970782807928768,0.1525510634394354,0.14832873364442675,0.11068826767235984,TimeGPT
hotel_98,bias,-0.06631624423963134,-0.009480606758832564,0.009024577572964673,-0.03791250794281789,-0.03949586315094571,-0.037336153822847676,-0.058090012048452676,0.013816755238173677,-0.024082482755885176,Naive
hotel_98,rmse,0.1676340625668026,0.1645301980071761,0.1779046646542047,0.14699934846305615,0.15263223292957914,0.17241210217270897,0.2236838440772515,0.1997107689015852,0.13939984626872567,TimeGPT
